State/UT,District,ds,Category,y
Andaman and Nicobar Islands,Nicobars,2021-07-01,ECT,94.44
Andaman and Nicobar Islands,Nicobars,2021-07-01,GP,70.24
Andaman and Nicobar Islands,Nicobars,2021-07-01,IF,78.43
Andaman and Nicobar Islands,Nicobars,2021-07-01,Outcome,46.21
Andaman and Nicobar Islands,Nicobars,2021-07-01,Overall,415.61
Andaman and Nicobar Islands,Nicobars,2021-07-01,SS,94.29
Andhra Pradesh,Anantapur,2018-07-01,DL,8.0
Andhra Pradesh,Anantapur,2018-07-01,ECT,78.89
Andhra Pradesh,Anantapur,2018-07-01,GP,67.86
Andhra Pradesh,Anantapur,2018-07-01,IF,52.94
Andhra Pradesh,Anantapur,2018-07-01,Outcome,63.1
Andhra Pradesh,Anantapur,2018-07-01,Overall,327.93
Andhra Pradesh,Anantapur,2018-07-01,SS,57.14
Andhra Pradesh,Anantapur,2019-07-01,DL,14.0
Andhra Pradesh,Anantapur,2019-07-01,ECT,81.11
Andhra Pradesh,Anantapur,2019-07-01,GP,63.1
Andhra Pradesh,Anantapur,2019-07-01,IF,76.47
Andhra Pradesh,Anantapur,2019-07-01,Outcome,57.59
Andhra Pradesh,Anantapur,2019-07-01,Overall,357.98
Andhra Pradesh,Anantapur,2019-07-01,SS,65.71
Andhra Pradesh,Anantapur,2020-07-01,DL,12.0
Andhra Pradesh,Anantapur,2020-07-01,ECT,74.44
Andhra Pradesh,Anantapur,2020-07-01,GP,78.57
Andhra Pradesh,Anantapur,2020-07-01,IF,68.63
Andhra Pradesh,Anantapur,2020-07-01,Outcome,64.83
Andhra Pradesh,Anantapur,2020-07-01,Overall,364.18
Andhra Pradesh,Anantapur,2020-07-01,SS,65.71
Andhra Pradesh,Anantapur,2021-07-01,DL,18.0
Andhra Pradesh,Anantapur,2021-07-01,ECT,90.0
Andhra Pradesh,Anantapur,2021-07-01,GP,76.19
Andhra Pradesh,Anantapur,2021-07-01,IF,76.47
Andhra Pradesh,Anantapur,2021-07-01,Outcome,46.21
Andhra Pradesh,Anantapur,2021-07-01,Overall,406.87
Andhra Pradesh,Anantapur,2021-07-01,SS,100.0
Andhra Pradesh,Chittoor,2018-07-01,DL,10.0
Andhra Pradesh,Chittoor,2018-07-01,ECT,84.44
Andhra Pradesh,Chittoor,2018-07-01,GP,73.81
Andhra Pradesh,Chittoor,2018-07-01,IF,60.78
Andhra Pradesh,Chittoor,2018-07-01,Outcome,55.86
Andhra Pradesh,Chittoor,2018-07-01,Overall,336.32
Andhra Pradesh,Chittoor,2018-07-01,SS,51.43
Andhra Pradesh,Chittoor,2019-07-01,DL,18.0
Andhra Pradesh,Chittoor,2019-07-01,ECT,82.22
Andhra Pradesh,Chittoor,2019-07-01,GP,71.43
Andhra Pradesh,Chittoor,2019-07-01,IF,68.63
Andhra Pradesh,Chittoor,2019-07-01,Outcome,55.17
Andhra Pradesh,Chittoor,2019-07-01,Overall,346.88
Andhra Pradesh,Chittoor,2019-07-01,SS,51.43
Andhra Pradesh,Chittoor,2020-07-01,DL,22.0
Andhra Pradesh,Chittoor,2020-07-01,ECT,88.89
Andhra Pradesh,Chittoor,2020-07-01,GP,85.71
Andhra Pradesh,Chittoor,2020-07-01,IF,72.55
Andhra Pradesh,Chittoor,2020-07-01,Outcome,55.86
Andhra Pradesh,Chittoor,2020-07-01,Overall,425.01
Andhra Pradesh,Chittoor,2020-07-01,SS,100.0
Andhra Pradesh,Chittoor,2021-07-01,DL,32.0
Andhra Pradesh,Chittoor,2021-07-01,ECT,92.22
Andhra Pradesh,Chittoor,2021-07-01,GP,82.14
Andhra Pradesh,Chittoor,2021-07-01,IF,82.35
